,"Hong Kong (HKD)",,"Portugal (EUR)",,"Honduras (USD)",,"Paraguay (USD)",,"Croatia (HRK)",,"Hungary (HUF)",,"Qatar (QAR)",,"Indonesia (IDR)",,"Ireland (EUR)",,"Israel (ILS)",,"United Arab Emirates (AED)",,"Afghanistan (USD)",,"India (INR)",,"South Africa (ZAR)",,"Iraq (USD)",,"Iceland (USD)",,"Albania (USD)",,"Italy (EUR)",,"Armenia (USD)",,"Argentina (USD)",,"Austria (EUR)",,"Zambia (USD)",,"Australia (AUD)",,"Romania (RON)",,"Bosnia and Herzegovina (EUR)",,"Barbados (USD)",,"Serbia (EUR)",,"Belgium (EUR)",,"Russia (RUB)",,"Rwanda (USD)",,"Bulgaria (BGN)",,"Bahrain (USD)",,"Japan (JPY)",,"Bolivia (USD)",,"Saudi Arabia (SAR)",,"Brazil (BRL)",,"Sweden (SEK)",,"Singapore (SGD)",,"Slovenia (EUR)",,"Belarus (USD)",,"Slovakia (EUR)",,"Canada (CAD)",,"Congo, Democratic Republic of (USD)",,"El Salvador (USD)",,"Switzerland (CHF)",,"Cote D'Ivoire (USD)",,"South Korea (KRW)",,"Chile (CLP)",,"Cameroon (USD)",,"China (CNY)",,"Colombia (COP)",,"Costa Rica (USD)",,"Kazakhstan (KZT)",,"Thailand (THB)",,"Cyprus (EUR)",,"Czechia (CZK)",,"Tonga (USD)",,"Turkey (TRY)",,"Germany (EUR)",,"Taiwan (TWD)",,"Tanzania (TZS)",,"Denmark (DKK)",,"Lithuania (EUR)",,"Luxembourg (EUR)",,"Latvia (EUR)",,"Dominican Republic (USD)",,"Ukraine (USD)",,"Libya (USD)",,"Morocco (USD)",,"Moldova (USD)",,"Montenegro (EUR)",,"United States (USD)",,"Ecuador (USD)",,"Myanmar (USD)",,"Estonia (EUR)",,"Egypt (EGP)",,"Uruguay (USD)",,"Uzbekistan (USD)",,"Malta (EUR)",,"Maldives (USD)",,"Mexico (MXN)",,"Malaysia (MYR)",,"Spain (EUR)",,"Vietnam (VND)",,"Nigeria (NGN)",,"Nicaragua (USD)",,"Netherlands (EUR)",,"Vanuatu (USD)",,"Norway (NOK)",,"Finland (EUR)",,"Nauru (USD)",,"France (EUR)",,"New Zealand (NZD)",,"Gabon (USD)",,"United Kingdom (GBP)",,"Georgia (USD)",,"Greece (EUR)",,"Guatemala (USD)",,"Panama (USD)",,"Kosovo (EUR)",,"Peru (PEN)",,"Philippines (PHP)",,"Pakistan (PKR)",,"Poland (PLN)",
Franja 25,"198.00","138.60","27.99","15.93","24.99","17.50","24.99","17.50","209.99","117.59","8990","4955","89.99","62.99","399000","253909","27.99","16.19","89.90","62.93","89.99","59.99","24.99","17.50","2199.00","1273.71","479.99","292.17","24.99","17.50","29.99","16.93","29.99","17.49","27.99","15.76","29.99","17.49","24.99","17.50","27.99","16.33","24.99","17.50","38.99","24.81","124.99","73.52","27.99","16.75","29.99","17.87","27.99","16.33","27.99","16.19","2290.00","1335.83","24.99","17.50","52.99","30.91","24.99","16.66","3060","2142","24.99","17.50","109.99","66.95","139.90","97.93","299.00","167.44","34.98","22.88","27.99","16.06","29.99","17.49","27.99","16.33","34.99","24.49","24.99","17.50","24.99","17.50","25.00","16.25","24.99","17.50","31000","19727","22900","13471","24.99","17.50","163.00","111.83","114900.00","67588.24","24.99","17.50","9990.00","6993.00","749.00","524.30","27.99","16.46","649.00","375.45","24.99","17.50","229.99","126.20","27.99","16.89","830","537","54900.00","38430.00","209.00","117.04","27.99","16.19","27.99","16.75","27.99","16.19","24.99","17.50","24.99","17.50","24.99","17.50","24.99","17.50","29.99","17.49","22.99","16.09","24.99","17.50","24.99","17.50","24.99","17.50","27.99","16.33","419.99","293.99","24.99","16.93","29.99","18.25","27.99","16.60","24.99","17.50","629.00","379.57","104.90","69.27","27.99","16.19","579000","405300","8900.00","6230.00","24.99","17.50","27.99","16.19","24.99","17.50","269.00","150.64","27.99","15.80","24.99","17.50","27.99","16.09","42.99","26.17","24.99","17.50","23.99","13.91","24.99","17.50","27.99","15.80","24.99","17.50","24.99","17.50","27.99","16.60","79.90","55.93","1250.00","875.00","3900.00","2730.00","119.99","68.29"
Franja 26,"203.00","142.10","28.99","16.50","25.99","18.20","25.99","18.20","219.99","123.19","9490","5231","94.99","66.49","429000","273000","28.99","16.77","91.90","64.33","94.99","63.33","25.99","18.20","2299.00","1331.63","499.99","304.34","25.99","18.20","30.99","17.49","30.99","18.08","28.99","16.32","30.99","18.08","25.99","18.20","28.99","16.91","25.99","18.20","39.99","25.45","129.99","76.46","28.99","17.34","30.99","18.46","28.99","16.91","28.99","16.77","2390.00","1394.17","25.99","18.20","54.99","32.08","25.99","17.33","3180","2226","25.99","18.20","114.99","69.99","144.90","101.43","309.00","173.04","36.98","24.19","28.99","16.63","30.99","18.08","28.99","16.91","35.99","25.19","25.99","18.20","25.99","18.20","26.00","16.90","25.99","18.20","32000","20364","23900","14059","25.99","18.20","168.00","115.26","119900.00","70529.41","25.99","18.20","10290.00","7203.00","799.00","559.30","28.99","17.05","679.00","392.81","25.99","18.20","239.99","131.69","28.99","17.49","870","563","57900.00","40530.00","219.00","122.64","28.99","16.77","28.99","17.34","28.99","16.77","25.99","18.20","25.99","18.20","25.99","18.20","25.99","18.20","30.99","18.08","23.99","16.79","25.99","18.20","25.99","18.20","25.99","18.20","28.99","16.91","429.99","300.99","25.99","17.61","30.99","18.86","28.99","17.20","25.99","18.20","649.00","391.64","109.90","72.58","28.99","16.77","599000","419300","9500.00","6650.00","25.99","18.20","28.99","16.77","25.99","18.20","279.00","156.24","28.99","16.37","25.99","18.20","28.99","16.67","44.99","27.39","25.99","18.20","24.99","14.49","25.99","18.20","28.99","16.37","25.99","18.20","25.99","18.20","28.99","17.20","82.90","58.03","1290.00","903.00","4000.00","2800.00","124.99","71.13"
Franja 27,"208.00","145.60","29.99","17.07","26.99","18.90","26.99","18.90","229.99","128.79","9790","5396","99.99","69.99","449000","285727","29.99","17.35","95.90","67.13","99.99","66.66","26.99","18.90","2399.00","1389.55","519.99","316.52","26.99","18.90","31.99","18.06","31.99","18.66","29.99","16.88","31.99","18.66","26.99","18.90","29.99","17.49","26.99","18.90","41.99","26.72","134.99","79.41","29.99","17.94","31.99","19.06","29.99","17.49","29.99","17.35","2490.00","1452.50","26.99","18.90","57.99","33.83","26.99","17.99","3300","2310","26.99","18.90","117.99","71.82","149.90","104.93","329.00","184.24","38.98","25.50","29.99","17.21","31.99","18.66","29.99","17.49","36.99","25.89","26.99","18.90","26.99","18.90","27.00","17.55","26.99","18.90","33000","21000","24500","14412","26.99","18.90","178.00","122.12","124900.00","73470.59","26.99","18.90","10490.00","7343.00","829.00","580.30","29.99","17.64","699.00","404.38","26.99","18.90","249.99","137.18","29.99","18.10","890","576","59900.00","41930.00","229.00","128.24","29.99","17.35","29.99","17.94","29.99","17.35","26.99","18.90","26.99","18.90","26.99","18.90","26.99","18.90","31.99","18.66","24.49","17.14","26.99","18.90","26.99","18.90","26.99","18.90","29.99","17.49","449.99","314.99","26.99","18.29","31.99","19.47","29.99","17.79","26.99","18.90","679.00","409.74","114.90","75.88","29.99","17.35","629000","440300","9700.00","6790.00","26.99","18.90","29.99","17.35","26.99","18.90","289.00","161.84","29.99","16.93","26.99","18.90","29.99","17.24","46.99","28.60","26.99","18.90","25.99","15.07","26.99","18.90","29.99","16.93","26.99","18.90","26.99","18.90","29.99","17.79","84.90","59.43","1350.00","945.00","4200.00","2940.00","127.99","72.84"
Franja 28,"218.00","152.60","30.99","17.64","27.99","19.60","27.99","19.60","239.99","134.39","9990","5506","104.99","73.49","459000","292091","30.99","17.93","99.90","69.93","104.99","69.99","27.99","19.60","2499.00","1447.47","529.99","322.60","27.99","19.60","33.99","19.19","33.99","19.83","30.99","17.45","33.99","19.83","27.99","19.60","30.99","18.08","27.99","19.60","42.99","27.36","139.99","82.35","30.99","18.54","33.99","20.25","30.99","18.08","30.99","17.93","2590.00","1510.83","27.99","19.60","59.99","34.99","27.99","18.66","3420","2394","27.99","19.60","119.99","73.04","154.90","108.43","339.00","189.84","40.98","26.81","30.99","17.78","33.99","19.83","30.99","18.08","37.99","26.59","27.99","19.60","27.99","19.60","28.00","18.20","27.99","19.60","35000","22273","24900","14647","27.99","19.60","188.00","128.98","129900.00","76411.77","27.99","19.60","10990.00","7693.00","849.00","594.30","30.99","18.23","729.00","421.74","27.99","19.60","259.99","142.66","30.99","18.70","930","601","60900.00","42630.00","239.00","133.84","30.99","17.93","30.99","18.54","30.99","17.93","27.99","19.60","27.99","19.60","27.99","19.60","27.99","19.60","33.99","19.83","24.99","17.49","27.99","19.60","27.99","19.60","27.99","19.60","30.99","18.08","469.99","328.99","27.99","18.97","33.99","20.69","30.99","18.38","27.99","19.60","699.00","421.81","119.90","79.18","30.99","17.93","649000","454300","9900.00","6930.00","27.99","19.60","30.99","17.93","27.99","19.60","299.00","167.44","30.99","17.49","27.99","19.60","30.99","17.82","47.99","29.21","27.99","19.60","26.99","15.65","27.99","19.60","30.99","17.49","27.99","19.60","27.99","19.60","30.99","18.38","89.90","62.93","1390.00","973.00","4300.00","3010.00","129.99","73.98"
Franja 29,"228.00","159.60","31.99","18.21","28.99","20.30","28.99","20.30","244.99","137.19","10490","5782","107.99","75.59","469000","298455","31.99","18.51","103.90","72.73","107.99","71.99","28.99","20.30","2599.00","1505.39","549.99","334.78","28.99","20.30","34.99","19.75","34.99","20.41","31.99","18.01","34.99","20.41","28.99","20.30","31.99","18.66","28.99","20.30","44.99","28.63","144.99","85.29","31.99","19.14","34.99","20.85","31.99","18.66","31.99","18.51","2690.00","1569.17","28.99","20.30","62.99","36.74","28.99","19.33","3540","2478","28.99","20.30","124.99","76.08","159.90","111.93","349.00","195.44","42.98","28.12","31.99","18.35","34.99","20.41","31.99","18.66","38.99","27.29","28.99","20.30","28.99","20.30","28.50","18.52","28.99","20.30","36000","22909","25900","15235","28.99","20.30","193.00","132.41","134900.00","79352.94","28.99","20.30","11490.00","8043.00","879.00","615.30","31.99","18.82","749.00","433.31","28.99","20.30","269.99","148.15","31.99","19.30","970","627","62900.00","44030.00","245.00","137.20","31.99","18.51","31.99","19.14","31.99","18.51","28.99","20.30","28.99","20.30","28.99","20.30","28.99","20.30","34.99","20.41","25.99","18.19","28.99","20.30","28.99","20.30","28.99","20.30","31.99","18.66","479.99","335.99","28.99","19.64","34.99","21.30","31.99","18.98","28.99","20.30","729.00","439.91","124.90","82.48","31.99","18.51","679000","475300","10500.00","7350.00","28.99","20.30","31.99","18.51","28.99","20.30","309.00","173.04","31.99","18.06","28.99","20.30","31.99","18.39","48.99","29.82","28.99","20.30","27.99","16.23","28.99","20.30","31.99","18.06","28.99","20.30","28.99","20.30","31.99","18.98","92.90","65.03","1450.00","1015.00","4500.00","3150.00","134.99","76.82"
Franja 30,"238.00","166.60","32.99","18.77","29.99","21.00","29.99","21.00","249.99","139.99","10990","6057","109.99","76.99","479000","304818","32.99","19.09","105.90","74.13","109.99","73.33","29.99","21.00","2699.00","1563.32","579.99","353.04","29.99","21.00","35.99","20.32","35.99","20.99","32.99","18.57","35.99","20.99","29.99","21.00","32.99","19.24","29.99","21.00","46.99","29.90","149.99","88.23","32.99","19.74","35.99","21.44","32.99","19.24","32.99","19.09","2790.00","1627.50","29.99","21.00","64.99","37.91","29.99","19.99","3680","2576","29.99","21.00","129.99","79.12","169.90","118.93","359.00","201.04","44.98","29.43","32.99","18.93","35.99","20.99","32.99","19.24","39.99","27.99","29.99","21.00","29.99","21.00","29.00","18.85","29.99","21.00","37000","23545","26900","15824","29.99","21.00","198.00","135.84","139900.00","82294.12","29.99","21.00","11990.00","8393.00","899.00","629.30","32.99","19.41","779.00","450.66","29.99","21.00","279.99","153.64","32.99","19.91","990","640","64900.00","45430.00","249.00","139.44","32.99","19.09","32.99","19.74","32.99","19.09","29.99","21.00","29.99","21.00","29.99","21.00","29.99","21.00","35.99","20.99","26.99","18.89","29.99","21.00","29.99","21.00","29.99","21.00","32.99","19.24","499.99","349.99","29.99","20.32","35.99","21.91","32.99","19.57","29.99","21.00","749.00","451.98","129.90","85.78","32.99","19.09","699000","489300","10900.00","7630.00","29.99","21.00","32.99","19.09","29.99","21.00","329.00","184.24","32.99","18.62","29.99","21.00","32.99","18.97","49.99","30.43","29.99","21.00","28.99","16.81","29.99","21.00","32.99","18.62","29.99","21.00","29.99","21.00","32.99","19.57","94.90","66.43","1490.00","1043.00","4600.00","3220.00","139.99","79.67"
Franja 31,"243.00","170.10","33.99","19.34","30.99","21.70","30.99","21.70","259.99","145.59","11290","6223","114.99","80.49","499000","317545","33.99","19.66","109.90","76.93","114.99","76.66","30.99","21.70","2749.00","1592.28","599.99","365.21","30.99","21.70","36.99","20.88","36.99","21.58","33.99","19.14","36.99","21.58","30.99","21.70","33.99","19.83","30.99","21.70","47.99","30.54","154.99","91.17","33.99","20.34","36.99","22.04","33.99","19.83","33.99","19.66","2890.00","1685.83","30.99","21.70","67.99","39.66","30.99","20.66","3800","2660","30.99","21.70","134.99","82.17","174.90","122.43","379.00","212.24","45.98","30.08","33.99","19.50","36.99","21.58","33.99","19.83","41.99","29.39","30.99","21.70","30.99","21.70","30.00","19.50","30.99","21.70","39000","24818","27900","16412","30.99","21.70","208.00","142.70","144900.00","85235.29","30.99","21.70","12290.00","8603.00","929.00","650.30","33.99","19.99","799.00","462.23","30.99","21.70","289.99","159.13","33.99","20.51","1020","660","66900.00","46830.00","259.00","145.04","33.99","19.66","33.99","20.34","33.99","19.66","30.99","21.70","30.99","21.70","30.99","21.70","30.99","21.70","36.99","21.58","27.99","19.59","30.99","21.70","30.99","21.70","30.99","21.70","33.99","19.83","519.99","363.99","30.99","21.00","36.99","22.52","33.99","20.16","30.99","21.70","779.00","470.09","134.90","89.08","33.99","19.66","709000","496300","11200.00","7840.00","30.99","21.70","33.99","19.66","30.99","21.70","339.00","189.84","33.99","19.19","30.99","21.70","33.99","19.54","52.99","32.25","30.99","21.70","29.99","17.39","30.99","21.70","33.99","19.19","30.99","21.70","30.99","21.70","33.99","20.16","99.90","69.93","1550.00","1085.00","4800.00","3360.00","144.99","82.51"
Franja 32,"248.00","173.60","34.99","19.91","31.99","22.40","31.99","22.40","269.99","151.19","11490","6333","117.99","82.59","519000","330273","34.99","20.24","113.90","79.73","117.99","78.66","31.99","22.40","2799.00","1621.24","609.99","371.30","31.99","22.40","37.99","21.45","37.99","22.16","34.99","19.70","37.99","22.16","31.99","22.40","34.99","20.41","31.99","22.40","49.99","31.81","159.99","94.11","34.99","20.93","37.99","22.63","34.99","20.41","34.99","20.24","2990.00","1744.17","31.99","22.40","69.99","40.83","31.99","21.33","3920","2744","31.99","22.40","139.99","85.21","179.90","125.93","389.00","217.84","46.98","30.73","34.99","20.08","37.99","22.16","34.99","20.41","43.99","30.79","31.99","22.40","31.99","22.40","31.00","20.15","31.99","22.40","40000","25455","28900","17000","31.99","22.40","218.00","149.56","147900.00","87000.00","31.99","22.40","12490.00","8743.00","949.00","664.30","34.99","20.58","829.00","479.59","31.99","22.40","294.99","161.87","34.99","21.11","1050","679","67900.00","47530.00","269.00","150.64","34.99","20.24","34.99","20.93","34.99","20.24","31.99","22.40","31.99","22.40","31.99","22.40","31.99","22.40","37.99","22.16","28.99","20.29","31.99","22.40","31.99","22.40","31.99","22.40","34.99","20.41","529.99","370.99","31.99","21.68","37.99","23.12","34.99","20.76","31.99","22.40","799.00","482.16","137.90","91.07","34.99","20.24","729000","510300","11500.00","8050.00","31.99","22.40","34.99","20.24","31.99","22.40","349.00","195.44","34.99","19.75","31.99","22.40","34.99","20.12","54.99","33.47","31.99","22.40","30.99","17.97","31.99","22.40","34.99","19.75","31.99","22.40","31.99","22.40","34.99","20.76","102.90","72.03","1590.00","1113.00","4900.00","3430.00","149.99","85.36"
Franja 33,"258.00","180.60","36.99","21.05","32.99","23.10","32.99","23.10","279.99","156.79","11990","6609","119.99","83.99","529000","336636","36.99","21.40","115.90","81.13","119.99","79.99","32.99","23.10","2899.00","1679.16","629.99","383.47","32.99","23.10","39.99","22.58","39.99","23.33","36.99","20.83","39.99","23.33","32.99","23.10","36.99","21.58","32.99","23.10","51.99","33.08","164.99","97.05","36.99","22.13","39.99","23.82","36.99","21.58","36.99","21.40","3090.00","1802.50","32.99","23.10","71.99","41.99","32.99","21.99","4040","2828","32.99","23.10","144.99","88.25","184.90","129.43","399.00","223.44","47.98","31.39","36.99","21.22","39.99","23.33","36.99","21.58","44.99","31.49","32.99","23.10","32.99","23.10","32.00","20.80","32.99","23.10","41000","26091","29500","17353","32.99","23.10","223.00","152.99","149900.00","88176.47","32.99","23.10","12990.00","9093.00","1000.00","700.00","36.99","21.76","849.00","491.16","32.99","23.10","299.99","164.61","36.99","22.32","1090","705","69900.00","48930.00","279.00","156.24","36.99","21.40","36.99","22.13","36.99","21.40","32.99","23.10","32.99","23.10","32.99","23.10","32.99","23.10","39.99","23.33","29.49","20.64","32.99","23.10","32.99","23.10","32.99","23.10","36.99","21.58","549.99","384.99","32.99","22.36","39.99","24.34","36.99","21.94","32.99","23.10","849.00","512.33","139.90","92.39","36.99","21.40","749000","524300","11900.00","8330.00","32.99","23.10","36.99","21.40","32.99","23.10","359.00","201.04","36.99","20.88","32.99","23.10","36.99","21.27","56.99","34.69","32.99","23.10","31.99","18.55","32.99","23.10","36.99","20.88","32.99","23.10","32.99","23.10","36.99","21.94","104.90","73.43","1650.00","1155.00","5100.00","3570.00","154.99","88.21"
Franja 34,"268.00","187.60","37.99","21.62","33.99","23.80","33.99","23.80","289.99","162.39","12490","6884","124.99","87.49","549000","349364","37.99","21.98","119.90","83.93","124.99","83.33","33.99","23.80","2999.00","1737.08","649.99","395.65","33.99","23.80","40.99","23.14","40.99","23.91","37.99","21.39","40.99","23.91","33.99","23.80","37.99","22.16","33.99","23.80","52.99","33.72","169.99","99.99","37.99","22.73","40.99","24.42","37.99","22.16","37.99","21.98","3190.00","1860.83","33.99","23.80","72.99","42.58","33.99","22.66","4160","2912","33.99","23.80","147.99","90.08","189.90","132.93","409.00","229.04","48.98","32.04","37.99","21.80","40.99","23.91","37.99","22.16","46.99","32.89","33.99","23.80","33.99","23.80","33.00","21.45","33.99","23.80","42000","26727","29900","17588","33.99","23.80","228.00","156.42","154900.00","91117.65","33.99","23.80","13290.00","9303.00","1020.00","714.00","37.99","22.35","879.00","508.51","33.99","23.80","309.99","170.10","37.99","22.93","1120","724","72900.00","51030.00","289.00","161.84","37.99","21.98","37.99","22.73","37.99","21.98","33.99","23.80","33.99","23.80","33.99","23.80","33.99","23.80","40.99","23.91","29.99","20.99","33.99","23.80","33.99","23.80","33.99","23.80","37.99","22.16","569.99","398.99","33.99","23.03","40.99","24.95","37.99","22.54","33.99","23.80","879.00","530.43","144.90","95.69","37.99","21.98","779000","545300","12200.00","8540.00","33.99","23.80","37.99","21.98","33.99","23.80","369.00","206.64","37.99","21.45","33.99","23.80","37.99","21.84","57.99","35.30","33.99","23.80","32.99","19.13","33.99","23.80","37.99","21.45","33.99","23.80","33.99","23.80","37.99","22.54","109.90","76.93","1690.00","1183.00","5200.00","3640.00","159.99","91.05"
Franja 35,"278.00","194.60","38.99","22.19","34.99","24.50","34.99","24.50","299.99","167.99","12790","7050","127.99","89.59","569000","362091","38.99","22.56","123.90","86.73","127.99","85.33","34.99","24.50","3099.00","1795.00","669.99","407.82","34.99","24.50","41.99","23.70","41.99","24.49","38.99","21.95","41.99","24.49","34.99","24.50","38.99","22.74","34.99","24.50","54.99","34.99","174.99","102.94","38.99","23.33","41.99","25.02","38.99","22.74","38.99","22.56","3290.00","1919.17","34.99","24.50","74.99","43.74","34.99","23.33","4280","2996","34.99","24.50","149.99","91.30","194.90","136.43","419.00","234.64","49.98","32.70","38.99","22.37","41.99","24.49","38.99","22.74","47.99","33.59","34.99","24.50","34.99","24.50","34.00","22.10","34.99","24.50","43000","27364","30900","18176","34.99","24.50","233.00","159.85","159900.00","94058.82","34.99","24.50","13490.00","9443.00","1050.00","735.00","38.99","22.94","899.00","520.08","34.99","24.50","319.99","175.59","38.99","23.53","1170","757","74900.00","52430.00","295.00","165.20","38.99","22.56","38.99","23.33","38.99","22.56","34.99","24.50","34.99","24.50","34.99","24.50","34.99","24.50","41.99","24.49","30.99","21.69","34.99","24.50","34.99","24.50","34.99","24.50","38.99","22.74","579.99","405.99","34.99","23.71","41.99","25.56","38.99","23.13","34.99","24.50","899.00","542.50","149.90","98.99","38.99","22.56","799000","559300","12500.00","8750.00","34.99","24.50","38.99","22.56","34.99","24.50","379.00","212.24","38.99","22.01","34.99","24.50","38.99","22.42","59.99","36.52","34.99","24.50","33.99","19.71","34.99","24.50","38.99","22.01","34.99","24.50","34.99","24.50","38.99","23.13","112.90","79.03","1750.00","1225.00","5400.00","3780.00","164.99","93.90"
Franja 36,"283.00","198.10","39.99","22.76","35.99","25.20","35.99","25.20","309.99","173.59","12990","7160","129.99","90.99","579000","368455","39.99","23.13","127.90","89.53","129.99","86.66","35.99","25.20","3199.00","1852.93","679.99","413.91","35.99","25.20","42.99","24.27","42.99","25.08","39.99","22.52","42.99","25.08","35.99","25.20","39.99","23.33","35.99","25.20","55.99","35.63","179.99","105.88","39.99","23.93","42.99","25.61","39.99","23.33","39.99","23.13","3390.00","1977.50","35.99","25.20","77.99","45.49","35.99","23.99","4400","3080","35.99","25.20","154.99","94.34","199.90","139.93","439.00","245.84","51.98","34.01","39.99","22.95","42.99","25.08","39.99","23.33","49.99","34.99","35.99","25.20","35.99","25.20","35.00","22.75","35.99","25.20","44000","28000","31900","18765","35.99","25.20","238.00","163.29","164900.00","97000.00","35.99","25.20","13990.00","9793.00","1100.00","770.00","39.99","23.52","929.00","537.44","35.99","25.20","329.99","181.08","39.99","24.13","1190","770","77900.00","54530.00","299.00","167.44","39.99","23.13","39.99","23.93","39.99","23.13","35.99","25.20","35.99","25.20","35.99","25.20","35.99","25.20","42.99","25.08","31.99","22.39","35.99","25.20","35.99","25.20","35.99","25.20","39.99","23.33","599.99","419.99","35.99","24.39","42.99","26.17","39.99","23.72","35.99","25.20","929.00","560.60","154.90","102.29","39.99","23.13","809000","566300","12900.00","9030.00","35.99","25.20","39.99","23.13","35.99","25.20","389.00","217.84","39.99","22.58","35.99","25.20","39.99","22.99","62.99","38.34","35.99","25.20","34.99","20.29","35.99","25.20","39.99","22.58","35.99","25.20","35.99","25.20","39.99","23.72","114.90","80.43","1790.00","1253.00","5500.00","3850.00","169.99","96.74"
Franja 37,"288.00","201.60","40.99","23.33","36.99","25.90","36.99","25.90","319.99","179.19","13490","7435","134.99","94.49","599000","381182","40.99","23.71","129.90","90.93","134.99","89.99","36.99","25.90","3249.00","1881.89","699.99","426.08","36.99","25.90","44.99","25.40","44.99","26.24","40.99","23.08","44.99","26.24","36.99","25.90","40.99","23.91","36.99","25.90","57.99","36.90","184.99","108.82","40.99","24.52","44.99","26.80","40.99","23.91","40.99","23.71","3490.00","2035.83","36.99","25.90","78.99","46.08","36.99","24.66","4520","3164","36.99","25.90","159.99","97.39","204.90","143.43","449.00","251.44","53.98","35.31","40.99","23.52","44.99","26.24","40.99","23.91","51.99","36.39","36.99","25.90","36.99","25.90","36.00","23.40","36.99","25.90","45000","28636","32900","19353","36.99","25.90","243.00","166.72","169900.00","99941.18","36.99","25.90","14290.00","10003.00","1120.00","784.00","40.99","24.11","949.00","549.01","36.99","25.90","339.99","186.56","40.99","24.74","1230","795","79900.00","55930.00","309.00","173.04","40.99","23.71","40.99","24.52","40.99","23.71","36.99","25.90","36.99","25.90","36.99","25.90","36.99","25.90","44.99","26.24","32.99","23.09","36.99","25.90","36.99","25.90","36.99","25.90","40.99","23.91","619.99","433.99","36.99","25.07","44.99","27.39","40.99","24.32","36.99","25.90","949.00","572.67","157.90","104.27","40.99","23.71","829000","580300","13200.00","9240.00","36.99","25.90","40.99","23.71","36.99","25.90","399.00","223.44","40.99","23.14","36.99","25.90","40.99","23.57","63.99","38.95","36.99","25.90","35.99","20.87","36.99","25.90","40.99","23.14","36.99","25.90","36.99","25.90","40.99","24.32","119.90","83.93","1850.00","1295.00","5700.00","3990.00","174.99","99.59"
Franja 38,"298.00","208.60","41.99","23.90","37.99","26.60","37.99","26.60","329.99","184.79","13790","7601","139.99","97.99","619000","393909","41.99","24.29","133.90","93.73","139.99","93.33","37.99","26.60","3299.00","1910.85","719.99","438.25","37.99","26.60","45.99","25.96","45.99","26.83","41.99","23.64","45.99","26.83","37.99","26.60","41.99","24.49","37.99","26.60","59.99","38.18","189.99","111.76","41.99","25.12","45.99","27.40","41.99","24.49","41.99","24.29","3590.00","2094.17","37.99","26.60","79.99","46.66","37.99","25.33","4640","3248","37.99","26.60","164.99","100.43","209.90","146.93","459.00","257.04","55.98","36.62","41.99","24.09","45.99","26.83","41.99","24.49","52.99","37.09","37.99","26.60","37.99","26.60","37.00","24.05","37.99","26.60","47000","29909","33900","19941","37.99","26.60","248.00","170.15","174900.00","102882.35","37.99","26.60","14490.00","10143.00","1150.00","805.00","41.99","24.70","979.00","566.36","37.99","26.60","349.99","192.05","41.99","25.34","1260","815","82900.00","58030.00","319.00","178.64","41.99","24.29","41.99","25.12","41.99","24.29","37.99","26.60","37.99","26.60","37.99","26.60","37.99","26.60","45.99","26.83","33.99","23.79","37.99","26.60","37.99","26.60","37.99","26.60","41.99","24.49","629.99","440.99","37.99","25.74","45.99","27.99","41.99","24.91","37.99","26.60","979.00","590.78","159.90","105.59","41.99","24.29","849000","594300","13500.00","9450.00","37.99","26.60","41.99","24.29","37.99","26.60","409.00","229.04","41.99","23.70","37.99","26.60","41.99","24.14","64.99","39.56","37.99","26.60","36.99","21.45","37.99","26.60","41.99","23.70","37.99","26.60","37.99","26.60","41.99","24.91","122.90","86.03","1890.00","1323.00","5900.00","4130.00","179.99","102.43"
Franja 39,"308.00","215.60","42.99","24.47","38.99","27.30","38.99","27.30","339.99","190.39","13990","7711","144.99","101.49","629000","400273","42.99","24.87","137.90","96.53","144.99","96.66","38.99","27.30","3399.00","1968.77","729.99","444.34","38.99","27.30","46.99","26.53","46.99","27.41","42.99","24.20","46.99","27.41","38.99","27.30","42.99","25.08","38.99","27.30","60.99","38.81","194.99","114.70","42.99","25.72","46.99","27.99","42.99","25.08","42.99","24.87","3690.00","2152.50","38.99","27.30","82.99","48.41","38.99","25.99","4780","3346","38.99","27.30","169.99","103.47","219.90","153.93","469.00","262.64","57.98","37.93","42.99","24.67","46.99","27.41","42.99","25.08","53.99","37.79","38.99","27.30","38.99","27.30","38.00","24.70","38.99","27.30","48000","30545","34900","20529","38.99","27.30","253.00","173.58","179900.00","105823.53","38.99","27.30","14990.00","10493.00","1200.00","840.00","42.99","25.29","999.00","577.93","38.99","27.30","359.99","197.54","42.99","25.94","1290","834","84900.00","59430.00","329.00","184.24","42.99","24.87","42.99","25.72","42.99","24.87","38.99","27.30","38.99","27.30","38.99","27.30","38.99","27.30","46.99","27.41","34.99","24.49","38.99","27.30","38.99","27.30","38.99","27.30","42.99","25.08","649.99","454.99","38.99","26.42","46.99","28.60","42.99","25.50","38.99","27.30","999.00","602.84","164.90","108.90","42.99","24.87","879000","615300","13900.00","9730.00","38.99","27.30","42.99","24.87","38.99","27.30","419.00","234.64","42.99","24.27","38.99","27.30","42.99","24.72","67.99","41.39","38.99","27.30","37.99","22.03","38.99","27.30","42.99","24.27","38.99","27.30","38.99","27.30","42.99","25.50","124.90","87.43","1950.00","1365.00","6000.00","4200.00","184.99","105.28"
